Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"419907";"22891640000171";"AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA";"AFFIANCE LIFE BENEFÍCIOS";"Administradora de Benefícios";"AVENIDA FONSO PENA ";"867";"23º ANDAR - SALAS 2301 A  2305";"CENTRO";"Belo Horizonte";"MG";"30130905";"31";"98148128";;"atendimento@affiancelife.com.br";"FABIANA DA SILVA CARDOSO";"ADMINISTRADORA NÃO SÓCIA";4;"2015-09-23"
"417424";"11158465000191";"AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA";"AFFIX BENEFÍCIOS";"Administradora de Benefícios";"Alameda Santos";"2441";"Conjuntos 41 e 42, 4º andar, Sala admini";"Cerqueira César";"São Paulo";"SP";"01419101";"11";"39952217";;"pedro.rezende@affixbeneficios.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"SóCIO ADMINISTRADOR";1;"2010-07-16"
"368920";"20320487000105";"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL";;"Autogestão";"AVENIDA PURDUE";"S/N";;"CAMPUS DA UFV";"Viçosa";"MG";"36570900";"31";"38996550";"38996550";"institucional@agros.org.br";"CLAUDIO FURTADO SOARES";"DIRETOR PRESIDENTE";4;"1998-12-18"
"424285";"57522360000170";"AIRES OPERADORA DE SAUDE LTDA";"AIRES OPERADORA DE SAUDE ";"Medicina de Grupo";"AVENIDA PRESIDENTE KENNEDY";"1001.0";"BLOCO D";"PEIXINHOS";"Olinda";"PE";"53230971";"81";"992463135";;"jjppcc@gmail.com";"JOSE PEREIRA DA COSTA";"ADMINISTRADOR";;"2024-12-16"
"417742";"10387254000168";"ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS";;"Administradora de Benefícios";"AVENIDA RIO BRANCO";"131";"10ª ANDAR - PARTE";"CENTRO";"Rio de Janeiro";"RJ";"21040006";"21";"25054500";;"RODRIGO.PEIXOTO@ALACORO.COM.BR";"ANADIA BIENHACHEWSKI FERREIRA ALVES";"DIRETORA PRESIDENTE";6;"2010-12-20"
"416975";"06258813000162";"ALCANCE SAÚDE LTDA";"ALCANCE SAÚDE";"Medicina de Grupo";"RUA CUSSY DE ALMEIDA JUNIOR";"1931";;"SAO JOAO";"Araçatuba";"SP";"16025050";;;;"reginaldo.alcancesaude@gmail.com";"VALDECIR DONIZETE LOCATELLI";"REPRESENTANTE";6;"2009-07-03"
"421928";"34266553000102";"ALICE OPERADORA LTDA.";"ALICE";"Medicina de Grupo";"Avenida Rebouças ";"3535";;"Pinheiros";"São Paulo";"SP";"05401400";"11";"41186896";;"regulatorio@alice.com.br";"MATHEUS HERMSDORFF MORAES";"Diretor";4;"2019-11-01"
"417289";"07674593000110";"ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA";;"Administradora de Benefícios";"ALAMEDA SANTOS";"1357";"2º e 7º ANDAR";"JARDIM PAULISTA";"São Paulo";"SP";"01419908";"11";"30039499";;"ans@allcare.com.br";"FARIAS PEREIRA DE SOUZA";"DIRETOR PRESIDENTE";1;"2010-05-14"
"417459";"11165556000154";"ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.";"ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE";"Administradora de Benefícios";"SCS QD. 03 BLOCO A";"LOTE";"107/111";"ASA SUL";"Brasília";"DF";"70303907";"61";"30443600";"30443615";"ans@allcare.com.br";"FARIAS PEREIRA DE SOUSA ";"DIRETOR PRESIDENTE";1;"2010-07-16"
"000515";"04439627000102";"ALLIANZ SAÚDE S/A";;"Seguradora Especializada em Saúde";"RUA EUGÊNIO DE MEDEIROS";"303";"7º ANDAR - PARTE";"PINHEIROS";"São Paulo";"SP";"05425000";"11";"40015060";;"compliance@allianz.com.br";"REGINA HELENA MENEZES LOPES";"DIRETORA";4;"2001-08-06"
"423262";"45568546000181";"ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA";"ALMA ODONTO";"Odontologia de Grupo";"RUA REGENTE FEIJO";"712.0";"SALA 93 EDIF JOAO PUPO";"CENTRO";"Campinas";"SP";"13013050";"19";"31994536";;"financeiro@almaodonto.com.br";"RONYSON RODRIGUES RAMOS DE OLIVEIRA";"SÓCIO ADMINISTRADOR";;"2022-05-30"
"419982";"20459346000160";"ALPHA DENTAL PLANO DE SAUDE LTDA ME";"DENTALMED";"Odontologia de Grupo";"AVENIDA DAS SIBIPIRUNAS";"2656";"1º ANDAR, SALA 03";"SETOR COMERCIAL SUL";"Sinop";"MT";"78550029";"66";"35310070";;;"IVAN DALL"" STELLA COSTA JÚNIOR";"SóCIO GERENTE";5;"2015-12-09"
"420255";"22103116000199";"ALTER ADMINISTRADORA DE BENEFICIOS S.A.";;"Administradora de Benefícios";"Alameda Santos";"2441";"4º andar, cjs 41 e 42, sala 01";"Cerqueira César";"São Paulo";"SP";"01419101";"11";"39952217";;"dpo@alter.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"ADMINISTRADOR";5;"2016-10-25"
"344800";"62511019000150";"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS";"ALVORECER";"Medicina de Grupo";"ALAMEDA SANTOS";"1827";"11 ANDAR SALA 111";"CERQUEIRA CESAR";"São Paulo";"SP";"01419909";"11";"30169409";;"regulatorio@bluemedsaude.com.br";"SILVIO JOSÉ FERRAZ TAVARES";"PRESIDENTE";4;"1999-01-15"
"424234";"56307500000125";"AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA";"AMAZIL   ";"Medicina de Grupo";"ESTRADA DO TINDIBA";"1630";;"TAQUARA";"Rio de Janeiro";"RJ";"22740362";"21";"999434833";;"leonardo@unimedicasaude.com";"ADEBEEL DE SOUSA AVES";"SOCIO ADMINISTRADOR";;"2024-12-02"
"419052";"16926969000128";"AMAZÔNIA PLANOS DE SAÚDE LTDA";"PLANO AMAZÔNIA SAÚDE";"Medicina de Grupo";"TRAVESSA NOVE DE JANEIRO";"1295";;"SÃO BRAZ";"Belém";"PA";"66060575";"91";"31847650";"32495686";"amasaude@amazoniaplanos.com.br";"GILBERTO OSAMU YAMAMOTO";"REPRESENTANTE LEGAL";6;"2013-10-03"
"423351";"46614535000153";"AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.";"VIVA VIDA";"Medicina de Grupo";"AVENIDA CALAMA";"2715";"SALA 2715C";"LIBERDADE ";"Porto Velho";"RO";"76803883";"69";"93324444";;"financeiro@operadoravivavida.com.br";"ROMILDA VIANA DE PAES";"SOCIO - ADMINISTRADOR";;"2022-10-03"
"304531";"17143876000190";"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA";"AME-SISTEMA DE SAÚDE 24 HORAS";"Medicina de Grupo";"RUA SAMPAIO";"376";;"CENTRO";"Juiz de Fora";"MG";"36010360";"32";"21015600";"32155201";"amesaude24h@terra.com.br";"REGINA MARIA AGUIAR DE SOUZA FELLET";"DIRETORA ADMINISTRATIVA E FINANCEIRA";6;"1998-12-22"
"413330";"04257073000114";"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA";"AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA";"Medicina de Grupo";"RUA ARAGUAIA";"13";;"JACAREPAGUA";"Rio de Janeiro";"RJ";"22745270";"21";"39104000";;"amep.operadora@uol.com.br";"ANA MARLI VIDEIRA PEIXOTO FAZZINI";"SOCIA GERENTE";4;"2001-03-16"
"394734";"67839969000121";"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA";"AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.";"Medicina de Grupo";"RUA UBATU MIRIM";"45";"3º ANDAR";"VILA GEA";"São Paulo";"SP";"04692010";"11";"33219700";;"diretoria.financeira@ameplansaude.com.br";"ALI HUSSEIN  IBRAHIN TAHA";"SÓCIO DIRETOR";2;"1998-12-24"
"321338";"84638345000165";"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.";"AMERON";"Medicina de Grupo";"AVENIDA CALAMA";"2615";"PRÉDIO";"LIBERDADE";"Porto Velho";"RO";"76803884";"69";"32117199";"32217157";"ouvidoria@ameron.com.br";"PAULO ROBERTO DA SILVA";"PRESIDENTE";5;"1998-12-22"
"401081";"68668045000172";"AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ";"GRUPO CEMERU SAÚDE";"Medicina de Grupo";"RUA FELIPE CARDOSO";"1025";;"SANTA CRUZ";"Rio de Janeiro";"RJ";"23510006";"21";"24140013";;"relacionamento.ans@cemeru.com";"MAURO GOMES DIAS ";"REPRESENTANTE";4;"1999-02-24"
"418587";"15131148000132";"AMHA SAUDE S/A";"AMHA SAUDE S/A";"Medicina de Grupo";"RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO";"141";"1º ANDAR";"VILA SANTISTA";"Atibaia";"SP";"12941030";;;;"marcos.carvalho@amha.com.br";"JOSE JAIR JAMES DE ARRUDA PINTO";"DIRETOR ";5;"2012-10-08"
"421731";"29174910000172";"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP";"AMHE MED";"Medicina de Grupo";"RUA PEDRO JOSÉ SENGER";"230";;"VILA HARO";"Sorocaba";"SP";"18015000";"15";"30351030";;"juridico@amhemed.com.br";"MARCIO ALVES";"Representante Perante ANS";6;"2019-06-13"
"326305";"29309127000179";"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.";"AMIL";"Medicina de Grupo";"Avenida Doutor Chucri Zaidan ";"S/ Nº";"6º, 7º, 8º ,9º, 16º, 20º e 23º  andares ";"VILA FRANCISCO";"São Paulo";"SP";"04711130";"21";"38054491";"38051088";"representanteans@amil.com.br";"ALEXANDRE GINO CAMARGO ZORNIG";"REPRESENTANTE LEGAL";1;"1998-12-17"
"325465";"20946877000187";"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA";"AMPARA ";"Medicina de Grupo";"PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN";"107";;"MOCOQUINHA";"São Sebastião do Paraíso";"MG";"37957148";"35";"35393636";"35393600";"ampara@ampara.com.br";"ANTONIO CARLOS MAFFEI BRAGIATO";"DIRETOR PRESIDENTE";5;"1998-12-21"
"422720";"41077489000187";"AMPLA PLANOS DE SAUDE LTDA";"AMPLA  ";"Medicina de Grupo";"Av. Nilo Peçanha";"50";"Grupo 2501";"CENTRO";"Rio de Janeiro";"RJ";"20020906";"21";"39235406";;"sidney.junior@amplasaude.com";"SIDNEY STORCH DUTRA JUNIOR";"SOCIO - ADMINISTRADOR";4;"2021-04-06"
"423858";"43047552000168";"AMPLITUDE PLANOS DE SAUDE LTDA ";"VYDA SAUDE";"Medicina de Grupo";"RUA INCONFIDÊNCIA ";"488";"SALA 201";"CENTRO";"Betim";"MG";"30411023";"31";"39235406";;"amaral.diego@gmail.com";"DIEGO ALVES AMARAL ";"SOCIO ADMINISTRADOR ";6;"2023-11-14"
"423319";"45981176000100";"ANAFE SAUDE";"ANAFE SAUDE";"Autogestão";"QUADRA 02 LOTE 03 1º ANDAR PARTE ";"9.0";"JARDIM DA BARRAGEM I";"JARDIM DA BARRAGEM I";"Águas Lindas de Goiás";"GO";"72920004";;;;"financeiro@anafesaude.com.br";"FLAVIO MURILO PINTO SIVINI";"DIRETOR- PRESIDENTE";;"2022-08-26"
"421871";"03013779000178";"ANGELI SISTEMAS DE SAUDE S.A.";;"Medicina de Grupo";"RODOVIA DO CAQUI";"1150";"SALA PRÓXIMA AO PRONTO SOCORRO";"ARAÇATUBA";"Campina Grande do Sul";"PR";"83430000";"41";"35154099";;"atendimento@planodesaudeangeli.com.br";"PEDRO ERNESTO CARON";"Presidente";5;"2021-07-29"
"422932";"35808498000106";"APLUS ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA PRESIDENTE VARGAS";"534";"SALA 1501";"CENTRO";"Rio de Janeiro";"RJ";"20071000";;;;"contato@aplusadministradora.com.br";"GABRIEL SILVA RODRIGUES";"SOCIO ADMINISTRADOR/REPRE";;"2021-07-29"
"421693";"30902499000193";"AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA";"AQQUER ADMINISTRADORA";"Administradora de Benefícios";"Rua Barão de Melgaço";"2754";"Sala 406";"Centro";"Cuiabá";"MT";"78020800";"65";"36244416";;"aqquer@aqquer.com.br";"GABRIEL DUTRA";"REPRESENTANTE LEGAL";;"2019-05-24"
"416070";"17469701000177";"ARCELORMITTAL BRASIL S/A";"ARCELORMITTAL BRASIL S/A";"Autogestão";"AV. CARANDAI";"1115";;"FUNCIONARIOS";"Belo Horizonte";"MG";"30130915";"27";"33481463";;"beneficios@arcelormittal.com.br";"PATRICIA GARIGLIO DAHER RAYA";"GERENTE DE BENEFICIOS";6;"2007-05-21"
"422941";"41715325000138";"ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ARL ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"Rua Visconde de Taunay";"601.0";;"Bom Retiro";"São Paulo";"SP";"01132000";"11";"32252193";;"paralegalarl@gmail.com";"ALVARO ANTÔNIO REGIS LEMOS";"Presidente";2;"2021-08-11"
"352152";"00743507000135";"ARM PLANOS ODONTOLÓGICOS LTDA.";"ARM ODONTOLOGIA";"Odontologia de Grupo";"RUA LOEFGREEN ";"1291";"CONJUNTO 62";"VILA CLEMENTINO";"São Paulo";"SP";"04040031";"11";"35155400";"35155400";"alexandre@armodonto.onmicrosoft.com";"ALEXANDRE DE SOUZA MARTINELLI";"DIRETOR";4;"1998-12-21"
"424340";"57267292000140";"ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA";"ARTYODONTO BRASIL";"Odontologia de Grupo";"AVENIDA PEDRO PAES DE AZEVEDO";"615";"LOJA 03";"GRAGERU";"Aracaju";"SE";"49025570";"79";"991300040";;"artyodontobrasil@artyodontobrasil.com.br";"HÉLCIO CASTRO PEREIRA";"DIRETOR ADMINISTRATIVO E FINANCEIRO";;"2025-02-17"
"417769";"12080518000161";"ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA";"ASSISTE ";"Administradora de Benefícios";"RUA JOÃO HIPÓLITO DE AZEVEDO";"18";"SALA 3 - TÉRREO";"CENTRO";"Conceição do Jacuípe";"BA";"44245000";"71";"30381100";;"bruno@assisteadministradora.com.br";"BRUNO EDELWEISS";"SÓCIO-ADMINISTRADOR";5;"2010-12-20"
"423912";"53249803000140";"ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA";;"Medicina de Grupo";"Rua Presidente Prudente";"267";"2º andar";"Jardim São Paulo";"Guarulhos";"SP";"07110140";"11";"49665132";;"administrativo@12deoutubrosaude.com.br";"GISELE ENCARNAÇÃO GUERRERO";"Administradora";6;"2024-03-04"
"325236";"66854779000110";"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA";"SÃO MIGUEL SAÚDE";"Medicina de Grupo";"RUA ÁLVARO CORREA BORGES";"43";"ED. GILBERTO MAIDA MELLACE";"VILA DR. EIRAS";"São Paulo";"SP";"08010200";;;;"saomiguelsaude@uol.com.br";"CARLOS ALBERTO FERNANDES MELLACI";"DIRETOR";4;"1998-12-21"
"365297";"01872588000136";"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA";"RISO PLANO ODONTOLOGICO";"Odontologia de Grupo";"AVENIDA UNIVERSIDADE";"28";"QUADRA 03";"COHAFUMA";"São Luís";"MA";"65070650";;;;"planoriso@planoriso.com.br";"MARCIA CHRISTINA VÉRAS BARBOSA";"DIRETORA TÉCNICA";6;"1998-12-22"
"423432";"47325263000134";"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE";"ADUFEPE SAÚDE";"Autogestão";"Rua Bom Pastor";"430.0";"Sala 11";"Iputinga";"Recife";"PE";"50670260";"81";"86903080";;"adufepesaude@gmail.com";"JOSÉ CRISTOVAM MARTINS VIEIRA ";"presidente";;"2022-12-27"
"409634";"73565319000138";"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA";"PRO-SAUDE";"Medicina de Grupo";"RUA SENADOR PINHEIRO MACHADO";"446";;"CENTRO";"Ponta Grossa";"PR";"84040310";;;;"administrador@prosaudeuepg.com.br";"JEANE SILVANE ECKERT";"REPRESENTANTE";6;"1999-11-05"
"360783";"59007799000190";"ASSOCIACAO DE SAUDE HOLAMBRA";"ASSOCIAÇÃO DE SAÚDE HOLAMBRA";"Medicina de Grupo";"ALAMEDA MAURÍCIO DE NASSAU";"241";"CX  POSTAL: 130";"CENTRO";"Holambra";"SP";"13825000";"19";"38022049";"38022049";"ash@holnet.com.br";"MAURICIO FRANCISCO MARIA KIEVITSBOSCH";"PRESIDENTE";5;"1999-02-03"
"317632";"62635990000191";"ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO";"ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP";"Autogestão";"AV. BRIGADEIRO LUIZ ANTONIO";"4843";;"JARDIM PAULISTA";"São Paulo";"SP";"01401002";;;;"ans@afresp.org.br";"ALEXANDRE LANIA GONCALVES";"2ª TESOUREIRO";2;"1998-12-16"
"343129";"13100755000100";"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA";"APUB SAÚDE";"Autogestão";"AV. ANTONIO CARLOS MAGALHAES";"3213";"EDIFÍCIO GOLDEN PLAZA,  SALA 405 a 408";"PARQUE BELA VISTA";"Salvador";"BA";"40280000";"71";"21039200";"32473381";"apubsaude@apubsaude.com.br";"SILVIA MARIA LEITE DE ALMEIDA";"PRESIDENTE DO CONSELHO DELIBERATIVO ";5;"1998-12-28"
"420093";"13083167000105";"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM";"ASSEM";"Autogestão";"AV DOUTOR CARLOS RODRIGUES DA CRUZ";"401";;"CAPUCHO";"Aracaju";"SE";"49081015";"79";"32342692";"32342692";"assem@assemse.com.br";"ELIAS FERNANDO GOES FELIPE";"PRESIDENTE";6;"2016-04-14"
"406635";"71565659000133";"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA";"APAS/ITAPETININGA";"Autogestão";"RUA DR. COUTINHO";"535";;"CENTRO";"Itapetininga";"SP";"18200358";"15";"34721800";;"contato@apasitapetininga.com.br";"CARLOS ROGÉRIO DE MORAIS";"REPRESENTANTE";5;"1999-07-21"
"410608";"00200720000109";"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS)";"APAS - PRESIDENTE PRUDENTE";"Autogestão";"RUA PIONEIRO JOSÉ LORENCETE";"420";;"JARDIM BONGIOVANI";"Presidente Prudente";"SP";"19050350";;;;"apas@apasprudente.com.br";"PATRÍCIA ELAINE MACHADO";"DIRETORA-PRESIDENTE";5;"2000-01-27"
"417599";"92741016000173";"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL";"VERTE SAUDE - AFPERGS";"Filantropia";"RUA DOS ANDRADAS";"846";;"CENTRO";"Porto Alegre";"RS";"90020006";"51";"32841500";;"najara.bandeira@afpergs.com.br";"ROMEU FUCHS";"Diretor Presidente";4;"2010-09-28"
"333867";"89761670000134";"ASSOCIAÇAO UNISAUDE MARAU";"UNISAÚDE";"Medicina de Grupo";"AVENIDA JULIO BORELLA";"1240";"CONJUNTO 406";"CENTRO";"Marau";"RS";"99150000";"54";"33422179";"33428002";"gerencia@unisaudemarau.com.br";"RUDIMAR LUIS RODEGHERO";"DIRETOR GERAL";6;"1998-12-31"
"406554";"83367342000171";"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE";"GARANTIA DE SAÚDE - HOSPITAIS ADVENTISTA DE BELÉM E MANAUS";"Filantropia";"RODOVIA MARIO COVAS";"400";;"COQUEIRO";"Ananindeua";"PA";"67110000";"91";"32144500";"32451585";"clairton@hab.org.br";"JACKSON DOUGLAS DA SILVA FREIRE";"GERENTE";5;"1999-07-21"
"411752";"03849449000117";"ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE";"CRUZ AZUL SAÚDE";"Medicina de Grupo";"RUA ALBUQUERQUE MARANHÃO";"72";;"CAMBUCI";"São Paulo";"SP";"01540020";"11";"33885000";"33885010";"diretoria@maisazulsaude.com.br";"EDGAR CUCCOLO";"REPRESENTANTE JUNTO À ANS";4;"2000-07-21"
"322326";"25335803000128";"ASSOCIAÇÃO BENEFICENTE CATÓLICA";"HOSPITAL SANTA ISABEL";"Filantropia";"RUA FREI CORNELIO";"200";;"LAURINDO DE CASTRO";"Ubá";"MG";"36500000";"32";"35391034";;"planosaude@santaisabelsaude.com.br";"FABIANO DOS SANTOS";"PRESIDENTE";3;"1998-12-29"
"304131";"02030246000131";"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15)";"SAÚDE ABAS";"Autogestão";"RUA BARÃO DE JAGUARA";"707";"10º ANDAR / SALAS 101/104 - BLOCO MOZART";"CENTRO";"Campinas";"SP";"13015926";"19";"37335060";;"falecom@abas15.org.br";"EINSTEIN ROMERO DURÃES";"REPRESENTANTE LEGAL";1;"1998-12-22"
